"Mean_AUC","Mean_pAUC_ratio_at_5.","P_value","Model"
0.490563683009793,1.14012581415099,0,"DNC-190"
0.696778878575488,1.18622212347937,0,"DNC-191"
0.494158168131316,1.10313877420207,0,"DNC-192"
0.493224386206215,1.15695589103464,0,"DNC-193"
0.590445336526187,1.20928933813458,0,"DNC-194"
0.675937186720146,1.29695293907605,0,"DNC-195"
0.386120627053872,1.05244738862896,0,"DNC-196"
0.252080903827306,1.00762424456911,0.2053,"DNC-197"
0.242831466969205,1.00343345512614,0.2084,"DNC-198"
0.469129905614535,1.07055857234073,0,"DNC-199"
0.428566765156444,1.0444668765852,0,"DNC-200"
0.411184545821425,1.03597862619428,0,"DNC-201"
0.435142303590107,1.06010191836963,0,"DNC-202"
0.44945444089378,1.05931476974929,0,"DNC-203"
0.340965346080038,1.02480692200981,0,"DNC-204"
0.529586895574755,1.08235946394321,0,"DNC-205"
0.641226114753288,1.15148793421952,0,"DNC-206"
0.611648645370912,1.20354302201862,0,"DNC-207"
0.680247890740176,1.07718158380447,0,"DNC-208"
0.712178198893071,1.15683378674922,0,"DNC-209"
0.719278527100818,1.27495088171883,0,"DNC-210"
