Country,latitude,longitude,SiteBdDetected,SppDet,SppTested
Canada,45.6944299999999,-76.92103,N,0,1
Canada,45.979372,-62.624358,N,0,1
Canada,45.985643,-62.616384,N,0,1
Canada,45.991044,-62.598476,D,1,1
Canada,45.993074,-62.59394,D,1,1
Canada,45.996217,-62.531763,D,1,1
Canada,46.160673,-62.81238,D,1,1
Canada,46.207617,-63.500594,D,1,2
Canada,46.213908,-63.103944,N,0,1
Canada,46.25264,-63.210745,D,1,1
Canada,46.255212,-63.041585,D,1,1
Canada,46.280147,-62.557872,D,1,1
Canada,46.299873,-62.532566,N,0,1
Canada,46.342541,-62.436641,D,1,1
Canada,46.347306,-63.25312,N,0,1
Canada,46.382081,-62.349866,D,1,1
Canada,46.64948,-64.403222,N,0,1
Canada,46.653074,-64.394791,D,1,2
Canada,46.689713,-64.202156,D,1,1
Chile,-39.8667,-71.9,D,1,1
Chile,-39.5775,-72.0186499999999,D,1,1
Chile,-39.5499999999999,-71.9833,D,1,1
Chile,-39.5,-71.8666999999999,N,0,1
Chile,-39.5,-71.8666999999999,N,0,1
Chile,-36.917,-73.0169999999999,N,0,1
Chile,-32.5499999999999,-71.3449999999999,N,0,1
Colombia,6.5956,-75.6406,D,1,2
Colombia,6.5986,-75.6568999999999,N,0,2
Colombia,6.6379,-75.6633999999999,D,2,2
Colombia,2.961046,-78.186348,D,6,6
Colombia,3.5044,-76.7,D,9,19
Colombia,3.8833,-76.4333,D,1,2
Colombia,5.34,-74.74,N,0,1
Costa Rica,10.43,-83.98,D,11,21
Costa Rica,9.6181,-82.7296999999999,D,8,20
Costa Rica,8.42919999999999,-83.3583,N,0,8
Costa Rica,8.4791,-83.5932999999999,D,1,3
Costa Rica,8.56667,-83.51667,D,2,8
Costa Rica,8.70001,-83.5233999999999,D,3,7
Costa Rica,8.91666999999999,-82.7333299999999,D,3,10
Costa Rica,9.41638999999999,-83.6632,D,1,1
Costa Rica,9.94171099999999,-83.9927809999999,D,1,1
Costa Rica,10.3234999999999,-84.7764999999999,D,4,13
Croatia,45.46,13.88,N,0,1
Cuba,21.91667,-80.01667,D,1,1
Czech Republic,50.04,14.35,N,0,2
Czech Republic,50.05,14.59,D,1,2
Czech Republic,50.05,14.84,N,0,1
Czech Republic,50.07,14.43,D,1,2
Czech Republic,50.08,14.4,N,0,1
Czech Republic,50.35,12.5,N,0,1
Czech Republic,50.56,13.58,D,1,4
Democratic Republic of the Congo,-2.23333,28.8,N,0,1
Ecuador,-0.638469399999999,-76.1490806,D,8,31
El Salvador,13.82,-89.9399999999999,N,0,1
El Salvador,13.82,-89.9399999999999,N,0,1
El Salvador,13.82,-89.9399999999999,N,0,1
Estonia,58.14,24.52,N,0,1
Estonia,58.43,26.32,N,0,1
France,43.733333,7.383333,N,0,1
France,43.95,7.6,N,0,1
French Guiana,4.06,-52.68,N,0,7
French Guiana,4.54,-52.18,N,0,3
French Guiana,5.41,-53.65,N,0,4
Gabon,-0.816815,12.708026,N,0,2
Gabon,-2.210605,11.476516,N,0,3
Gabon,-0.166667,11.583333,N,0,1
Gabon,0.449589999999999,10.2758299999999,D,13,25
Gabon,0.623249999999999,10.4027499999999,D,11,23
Germany,47.3999999999999,10.4,N,0,1
Germany,52.524,13.4115,D,1,1
Ghana,5.597949,-0.166989,N,0,5
Guatemala,14.7899999999999,-91.6517999999999,N,0,1
Guatemala,14.8432999999999,-91.3791999999999,N,0,1
Guatemala,14.9315,-91.9137999999999,D,1,1
Guatemala,14.9586,-91.7094,D,1,1
Guatemala,14.9596,-91.8440999999999,D,1,1
Guatemala,15.038,-91.8122,N,0,1
Guatemala,15.4964999999999,-91.6021999999999,N,0,1
Guinea,11.3072199999999,-12.33083,N,0,5
Guinea,11.31583,-12.2972199999999,N,0,1
Guinea,11.3427799999999,-12.33694,N,0,1
Guinea,11.3427799999999,-12.33694,N,0,1
Guyana,4.33,-58.8,N,0,3
Honduras,15.5,-88.2,D,6,16
Honduras,15.5065,-88.2365,N,0,1
Honduras,15.63333,-86.7999999999999,D,2,4
Honduras,15.6999999999999,-86.8499999999999,D,1,1
Hong Kong,22.22458,113.87996,N,0,2
Hong Kong,22.2368799999999,113.92923,N,0,2
Hong Kong,22.24447,114.21268,N,0,3
Hong Kong,22.2583799999999,114.165,N,0,1
Hong Kong,22.2672999999999,114.14223,N,0,2
Hong Kong,22.3563399999999,114.17977,N,0,2
Hong Kong,22.3732499999999,114.24391,N,0,3
Hong Kong,22.38674,114.14756,N,0,3
Hong Kong,22.40352,114.05414,N,0,3
Hong Kong,22.40982,114.13573,N,0,4
Hong Kong,22.4219329999999,114.16888,N,0,3
Hong Kong,22.44271,114.32848,N,0,1
Hungary,46.86,16.15,N,0,1
Hungary,46.87,16.14,D,1,1
Hungary,46.9,16.24,D,1,1
Hungary,46.91,16.22,N,0,1
Hungary,46.91,16.23,N,0,1
Hungary,47.1,20.75,N,0,1
Hungary,47.1625,19.5032999999999,D,1,1
Hungary,47.18,18.54,N,0,1
Hungary,47.23,17.64,D,1,1
Hungary,47.27,17.69,N,0,3
Hungary,47.37,16.5,D,1,1
Hungary,47.71,19.04,N,0,1
Hungary,47.77,18.98,D,1,1
Hungary,48.38,21.45,N,0,2
Hungary,48.46,21.45,N,0,1
Indonesia,-5.44611,119.92278,D,1,1
